price;old_price;rating;review_count;sales_last_month;discount_rate;clean_title;brand_extracted;category
355.0;355.0;4.258333333333333;102.3382352941177;287;0.0;golden rose longstay liquid matte lipstick no 42 bulasmayan kalc likit mat ruj;Golden Rose;Makyaj
284.9;284.9;3.9;32.0;50;0.0;note cosmetics 3 in 1 healthy skin tinted moisturizer renk ton esitleyici 50 spf aydnlatc krem;Note Cosmetics;Cilt Bakımı
350.95;350.95;4.0;28.0;425;0.0;note cosmetics collagen concealer 01 kolajen icerikli spf 20 goz alt kapatcs;Note Cosmetics;Makyaj
254.9;254.9;4.4;74.0;80;0.0;note cosmetics mineral concealer 202 spf 15 goz alt kapatcs;Note Cosmetics;Makyaj
499.0;499.0;4.3;13.0;500;0.0;l oreal paris telescopic maskara siyah;Lore;Makyaj
130.9;130.9;4.7;937.0;600;0.0;blistex medplus stick kuru ve catlams dudaklara onarc ve ferahlatc dudak bakm kremi spf 15;Blistex;Cilt Bakımı
689.9;344.95;4.3;420.0;900;-100.0;cream co su bazl moisturizer nemlendirici aydnlatc yuz kremi hyaluronik asit 50 ml tum cilt tipleri;Cream Co;Cilt Bakımı
134.5;269.0;4.5;1.0;600;50.0;the purest solutions gozenek ve siyah nokta gorunumunu azaltmaya yardmc arndrc tonik 5 glikolik asit aha bha 200 ml;The Purest;Cilt Bakımı
119.93;179.9;4.5;676.0;300;33.33518621456364;l oreal paris elseve mucizevi yag sac guzellestirici krem 150 ml kuru ve sert saclar icin;L'Oreal Paris;Other
427.46;427.46;4.5;382.0;50;0.0;l oreal paris lumi blush likit allk 630 glowy true rose;L'Oreal Paris;Makyaj
809.47;239.39;4.4;363.0;300;-238.1386022807971;the purest solutions retinol icerikli gece bakm serumu krsklk karst bakm 30 ml 1 retinol seramid;The Purest;Cilt Bakımı
449.0;449.0;4.5;34.0;400;0.0;maybelline new york lash sensational sky high maskara;Maybelline;Makyaj
359.9;359.9;4.6;68.0;100;0.0;l oreal paris elseve glycolic gloss parlaklg saca muhurleyen laminasyon 5 dakikada durulanan bakm 200 ml;L'Oreal Paris;Makyaj
589.0;589.0;4.3;8.0;100;0.0;l oreal paris panorama hacim veren maskara siyah;L'Oreal Paris;Makyaj
2479.17;119.0;4.7;736.0;50;-1983.336134453782;nivea bogurtlen dudak bakm kremi 4 8 gr 24 saat nemlendirme bogurtlen kokusu isltl renk mineral yag icermez;Nivea;Other
1759.7;703.88;4.5;1.0;400;-150.0;la roche posay cicaplast baume b5 40ml;La Roche-Posay;Other
219.0;219.0;4.2;78.0;100;0.0;cream co allk ruj goz far glow tint soft mocha nemlendirici makyaj 504 nude hyaluronik asit peptit;Cream Co;Makyaj
114.23;199.9;4.6;665.0;600;42.85642821410705;urban care twisted curls hibiscus shea butter kvrck ve dalgal saclara ozel durulanmayan bakm kremi 175 ml vegan;URBAN Care;Other
1014.08;299.9;4.4;818.0;400;-238.1393797932645;the purest solutions c vitamini aydnlatc ve cilt tonu esitleyici cilt bakm serumu 30 ml 10 ascorbic acid ferulic acid 0 5;sheer up;Cilt Bakımı
10799.67;323.99;4.3;134.0;200;-3233.334362171672;sheer up yar transparan parlak bitisli nemlendirici ruj;Note Cosmetics;Makyaj
199.0;199.0;4.2;17.0;148;0.0;note cosmetics flawless lipgloss 03 dried rose nemlendirici etkili parlak ruj pembe;Note Cosmetics;Makyaj
223.6;223.6;4.4;903.0;238;0.0;golden rose longstay liquid matte lipstick no 37 bulasmayan kalc likit mat ruj;Golden Rose;Makyaj
2699.0;269.9;4.3;127.0;437;-900.0;note cosmetics bb concealer 03 spf 15 goz alt kapatcs;Note Cosmetics;Makyaj
369.9;369.9;5.0;1.0;330;0.0;note cosmetics hydramoist lipgloss 07 mellow thought nemlendirici dudak parlatcs pembe;Note Cosmetics;Makyaj
36.66;32.99;4.7;645.0;300;-11.12458320703242;dove beauty cream bar kat guzellik sabunu original nemledirici etkili 90 g;Dove;Cilt Bakımı
99.0;99.0;4.6;146.0;50;0.0;golden rose emily long lasting lip pencil no 203 uzun sure kalc dudak kalemi;Golden Rose;Makyaj
219.0;219.0;4.3;29.0;50;0.0;cream co allk ruj goz far glow tint warm peach nemlendirici makyaj 503 seftali hyaluronik asit peptit;Cream Co;Makyaj
249.0;249.0;4.3;556.0;800;0.0;urban care style guide dogal ve mat gorunum saglayan esnek tutuslu wax 100 ml vegan;URBAN Care;Other
11399.67;341.99;3.9;87.0;300;-3233.334308020702;sheer up yar transparan parlak bitisli nemlendirici ruj;sheer up;Makyaj
689.9;344.95;4.1;153.0;200;-100.0;cream co cloud moisturizer hassas ciltler icin nemlendirici yuz kremi 50 ml;Cream Co;Cilt Bakımı
555.71;555.71;4.5;11.0;100;0.0;l oreal paris glotion all in one dogal islt aydnlatc losyon 902 light glow;L'Oreal Paris;Other
50.0;475.0;4.6;4.0;300;89.47368421052632;maybelline new york lash sensational yelpaze etkili intense black maskara ekstra siyah 1 paket 1 x 9 5 ml;Maybelline;Makyaj
880.0;264.0;4.3;804.0;300;-233.3333333333333;the purest solutions leke karst ve leke gorunumu onleyici arbutin cilt bakm serumu 30 ml arbutin 2 hyaluronic acid;The Purest;Cilt Bakımı
215.0;215.0;4.2;148.0;420;0.0;pastel plump up gloss 202 loverdose dolgunlastrc dudak parlatcs;Pastel;Makyaj
2168.98;1084.49;4.4;7.0;700;-100.0;la roche posay anthelios oil control fluid spf 50 akskan yuz gunes kremi 50 ml;La Roche-Posay;Cilt Bakımı
10799.67;323.99;4.4;113.0;400;-3233.334362171672;sheer up yar transparan parlak bitisli nemlendirici ruj;sheer up;Makyaj
167.9;167.9;4.4;286.0;372;0.0;pastel cream blush krem allk 42 rosery 3 6 g;Pastel;Makyaj
219.0;219.0;3.9;35.0;50;0.0;cream co allk ruj goz far glow tint rich berry nemlendirici makyaj 502 bordo hyaluronik asit peptit;Cream Co;Makyaj
1096.67;329.0;4.2;469.0;300;-233.3343465045593;the purest solutions gozenek ve siyah nokta karst sivilce onleyici niacinamide cilt bakm serumu 30 ml niacinamide 5 zinc pca 1;The Purest;Cilt Bakımı
499.0;499.0;4.6;29.0;400;0.0;maybelline new york instant anti age eraser kapatc 01 light 6 8 ml;Maybelline;Other
519.9;519.9;4.4;2.0;200;0.0;maybelline new york super lock brow glue kas sabitleyici maskara;Maybelline;Makyaj
215.96;215.96;3.4;5.0;369;0.0;50 spf korucuyu yuz ve vucut gunes kremi 50 ml;The Purest;Cilt Bakımı
999.8;499.9;4.4;18.0;200;-100.0;cerave moisturising cream nemlendirici bakm kremi 50 ml;CeraVe;Cilt Bakımı
394.9;394.9;3.5;3.0;77;0.0;yumusak dokulu dokulme yapmayan 3 renkli goz far triple shadow no 20 vintage coin;L'Oreal Paris;Other
10799.67;323.99;3.9;48.0;100;-3233.334362171672;sheer up yar transparan parlak bitisli nemlendirici ruj;sheer up;Makyaj
910.0;273.0;4.3;518.0;100;-233.3333333333333;the purest solutions aha bha canlandrc cilt tonu esitleyici krmz peeling cilt bakm serumu 30 ml aha 10 bha 2;The Purest;Cilt Bakımı
302.54;302.54;3.6;9.0;200;0.0;golden rose max hold brow glue seffaf kas sabitleyici jel biotin b5 icerikli;Golden Rose;Makyaj
436.33;130.9;4.7;1.0;100;-233.3307868601986;neutrogena norvec formulu besleyici cok amacl yogun bakm kremi 300 ml;Neutrogena;Other
68.32;464.55;4.4;9.0;100;85.29329458615865;maybelline new york instant anti age eraser kapatc 00 ivory 6 8 ml;Maybelline;Other
469.0;469.0;4.3;905.0;159;0.0;l oreal paris glow paradise balm in lipstick islt veren ruj 112 pastel exaltation;Pastel;Makyaj
358.75;358.75;4.6;182.0;100;0.0;l oreal paris yas uzman 65 krsklk karst besleyici krem;L'Oreal Paris;Other
105.0;105.0;4.4;233.0;306;0.0;golden rose roll on lipgloss 01 strawberry cilek aromal dudak parlatcs;Golden Rose;Makyaj
99.9;99.9;4.3;146.0;273;0.0;golden rose emily waterproof eye pencil no 101 suya dayankl goz kalemi;Golden Rose;Makyaj
519.9;519.9;4.6;8.0;87;0.0;maybelline new york lifter gloss nemlendirici dudak parlatcs 003 moon;Maybelline;Makyaj
598.46;598.46;4.4;1.0;100;0.0;l oreal paris infaillible 24h brow lamination seffaf kas sabitleyici;L'Oreal Paris;Makyaj
387.0;387.0;4.7;2.0;393;0.0;maybelline new york lifter gloss nemlendirici dudak parlatcs 005 petal;Maybelline;Makyaj
185.0;185.0;4.6;1.0;227;0.0;golden rose velvet matte lipstick no 34;Golden Rose;Makyaj
359.9;359.9;4.0;1.0;238;0.0;note cosmetics matte queen lipstick 24 ravishing rose kalc likit ruj nude;Note Cosmetics;Makyaj
239.95;239.95;4.258333333333333;102.3382352941177;272;0.0;note cosmetics hydramoist lipgloss 12 magic touch nemlendirici dudak parlatcs isltl;Note Cosmetics;Makyaj
239.95;239.95;4.258333333333333;102.3382352941177;471;0.0;note cosmetics hydramoist lipgloss 24 smell of coffee nemlendirici dudak parlatcs nude;Note Cosmetics;Makyaj
717.5;358.75;4.5;114.0;480;-100.0;l oreal paris yas uzman 50 krsklk karst yenileyici krem;L'Oreal Paris;Other
349.0;349.0;4.1;32.0;50;0.0;clasy care goz alt kremi morluk ve sislik karst 5 kafein 2 hyaluronik asit krsklk torba ve ince cizgiler icin aydnlatc goz kremi kore esintili goz cevresi kremi 40 ml;CLASYCARE;Other
48.59;43.73;4.7;265.0;200;-11.11365195517953;dove beauty cream bar pink nemlendirici krem 90 g;Dove;Cilt Bakımı
188.95;188.95;4.6;12.0;163;0.0;l oreal paris revitalift clinical annda aydnlatc c vitamini serum etkili maske;L'Oreal Paris;Cilt Bakımı
623.96;623.96;4.3;332.0;331;0.0;l oreal paris color riche saten bitisli ruj 570 worth it intense;L'Oreal Paris;Makyaj
926.15;926.15;5.0;4.0;141;0.0;missha 48 saat kalc saten fondoten 15ml spf50 radiance perfect fit cushion foundation no 21 fair;L'Oreal Paris;Makyaj
1234.5;246.9;4.2;66.0;467;-400.0;golden rose nude look perfect matte lips ruj no 01 coral nude;Golden Rose;Makyaj
10089.21;383.39;4.1;40.0;401;-2531.578810088944;kiss me more yuksek pigmentli mat bitisli nemlendirici likit ruj;L'Oreal Paris;Makyaj
164.99;164.99;4.2;379.0;329;0.0;golden rose glow kiss tinted lip balm no 03 berry pink renkli dudak nemlendiricisi spf15;Golden Rose;Cilt Bakımı
418.0;418.0;4.3;240.0;153;0.0;maybelline new york sunkisser likit allk 08 shades on;Maybelline;Aksesuar
9374.75;374.99;4.2;143.0;99;-2400.0;baked blush on yuksek pigmentli mat bitisli frnlanms allk;doa kozmetik;Makyaj
330.8;330.8;3.8;47.0;223;0.0;cream co dudak parlatcs nemlendirici besleyici lip oil gloss dudak yag ahududu aromal e vitamini;Cream Co;Makyaj
80.0;80.0;4.6;33.0;172;0.0;gabrini eye max eyebrow pencil 4;gabrini;Makyaj
499.0;499.0;4.5;11.0;301;0.0;l oreal paris glotion all in one dogal islt aydnlatc losyon 904 deep glow;L'Oreal Paris;Other
719.96;719.96;4.1;1.0;234;0.0;l oreal paris panorama hacim veren maskara koyu kahverengi;L'Oreal Paris;Makyaj
2280.8;114.04;5.0;1.0;148;-1900.0;pierre cardin staylong lipcolor kissproof uzun sure kalc lipgloss 5 ml chic berry 360;pierre cardin;Makyaj
269.9;269.9;4.2;24.0;277;0.0;note cosmetics collagen concealer 02 kolajen icerikli spf 20 goz alt kapatcs;Note Cosmetics;Makyaj
268.47;268.47;4.1;1.0;57;0.0;maybelline new york color sensational powder matte ruj 15 smoky taupe nude;Maybelline;Makyaj
375.15;375.15;5.0;3.0;449;0.0;missha siyah nokta karst makyaj temizleme yag 100ml super off cleansing oil blackhead off;missha;Other
114.9;114.9;4.4;25.0;423;0.0;golden rose emily long lasting lip pencil no 211 uzun sure kalc dudak kalemi;Golden Rose;Makyaj
226.06;226.06;4.0;107.0;120;0.0;golden rose lipstick no 57 nemlendirici etkili kremsi ruj;Golden Rose;Makyaj
117.5;117.5;4.0;42.0;271;0.0;golden rose dream lips lipliner no 503 mat bitisli yumusak dudak kalemi;Golden Rose;Other
519.9;519.9;4.2;46.0;141;0.0;maybelline new york lifter gloss honeyd nemlendirici dudak parlatcs 29 toast;Maybelline;Makyaj
174.9;174.9;2.6;3.0;410;0.0;golden rose brow color tinted eyebrow mascara no 02 light brown fiber icerikli kas maskaras;Golden Rose;Makyaj
3639.8;181.99;4.2;3.0;383;-1900.0;pierre cardin staylong lipcolor kissproof uzun sure kalc lipgloss 5 ml paparazzi pembe 352;pierre cardin;Makyaj
436.0;436.0;4.4;51.0;494;0.0;l oreal paris color riche intense volume matte ruj 550 nude unapologetic;L'Oreal Paris;Makyaj
199.9;199.9;3.6;10.0;231;0.0;mara kozmetik imm209 363 sac maskaras ack kumral;Mara kozmetik;Makyaj
571.0;571.0;4.2;2.0;384;0.0;l oreal paris pro xxl lift cift tarafl maskara kirpik lifting etkisi;L'Oreal Paris;Makyaj
299.0;299.0;3.4;3.0;355;0.0;clasycare radiant goz cevresi serumu kafein goz serumu hyaluronik asit ve c vitamini ile goz alt morluklar sislik ve ince cizgilere kars etkili tum cilt tipleri icin 50 ml;CLASYCARE;Cilt Bakımı
323.9;323.9;4.0;57.0;178;0.0;golden rose yumusak ve mat kremsi lipcolor no 106 1 paket;Golden Rose;Other
260.0;485.8617964071857;4.2;41.0;364;46.48684010090349;golden rose nude look natural shine lipgloss no 01 nude delight dogal parlak dudak parlatcs;Golden Rose;Makyaj
758.01;758.01;3.9;37.0;479;0.0;jane iredale hydropure hyaluronic dudak parlatc;jane iredale ;Other
3599.9;359.99;2.4;2.0;138;-900.0;quality life goz alt morluk torbalanma krsklk koyu halka ve aydnlatc goz cevresi kafein serumu;Quality Life;Cilt Bakımı
11091.67;2994.75;4.2;77.0;192;-270.3704816762668;jane iredale beyond matte liquid foundation likit mat fondoten m4 27 ml;jane iredale ;Makyaj
1174.77;411.17;4.258333333333333;102.3382352941177;452;-185.7139382737067;flormar yagl karma ciltlere ozel parlama onlemeye yardmc spf25 mat bitisli bb krem 003 light;Flormar;Cilt Bakımı
410.0;410.0;5.0;1.0;279;0.0;doa kozmetik laktik asit aha tonik 10 laktik asit 10 lactic acid;Flormar;Cilt Bakımı
278.0;278.0;2.8;3.0;479;0.0;pastel eye cream hydrating satin concealer goz kremi goz alt kapatcs 66 deep medium 4 3 ml;Pastel;Makyaj
180.79;485.8617964071857;4.258333333333333;102.3382352941177;281;62.78983008400901;clasycare aydnlatc yuz tonigi hyaluronik asitli nemlendirici leke karst sivilce izleri icin tonik hassas ve yagl ciltler icin nazik bakm gozenek sklastrc cilt urunu 200 ml;Pastel;Cilt Bakımı
280.57;280.57;3.2;6.0;483;0.0;clasycare kil maskesi gozenek sklastrc ve derinlemesine temizleyici yuz maskesi siyah nokta karst yag dengeleyici nemlendirici dogal icerikli 100 ml;CLASYCARE;Cilt Bakımı
147.67;147.67;4.0;24.0;205;0.0;show by pastel monochrome eyeshadow 26 sand dunes;Pastel;Makyaj
350.0;350.0;4.258333333333333;102.3382352941177;191;0.0;golden rose tattoo gel eyepencil no 104 glitzy brown 24 saat kalc suya dayankl jel goz kalemi;Golden Rose;Makyaj
97.43;97.43;5.0;2.0;183;0.0;gabrini terracotta blush on allk no 31;Golden Rose;Makyaj
265.93;265.93;4.2;1.0;354;0.0;maybelline new york master drama lightliner goz kalemi 25 glimmerlight pink metalik ack pembe;Maybelline;Other
449.9;449.9;4.258333333333333;102.3382352941177;491;0.0;cream co likit bronzer glow sculpt eclipse kontur notr koyu kahve yuz sekillendirici nemlendirici makyaj;Cream Co;Cilt Bakımı
4579.22;293.07;4.3;170.0;292;-1462.500426519262;water lip stain su bazl kalc dudak renklendiricisi;Cream Co;Other
175.0;175.0;4.3;6.0;471;0.0;golden rose silky touch compact powder no 08 soft caramel ipeksi skstrlms pudra 12 g;Golden Rose;Other
370.0;370.0;4.258333333333333;102.3382352941177;119;0.0;doa kozmetik bha tonik 2 salisilik asit salicylic acid;Golden Rose;Cilt Bakımı
1068.65;1068.65;5.0;2.0;421;0.0;missha c vitamini icerikli leke karst gunluk yaprak maske vita c plus daily toning mask;doa kozmetik;Cilt Bakımı
440.0;440.0;5.0;1.0;485;0.0;doa kozmetik retinal 0 025 krem;missha;Other
424.9;424.9;3.9;2.0;492;0.0;missha yogun esansl kalc sac vucut spreyi 105ml dare body mist fresh grapefruit;doa kozmetik;Other
43999.0;439.99;4.258333333333333;102.3382352941177;424;-9900.0;pink edt 100 ml kadn parfum niche serisi;missha;Parfüm
589.0;589.0;5.0;1.0;252;0.0;doa kozmetik retinal 0 05 krem;doa kozmetik;Other
380.0;380.0;5.0;1.0;66;0.0;doa kozmetik l ascorbic acid serum saf c vitamini serumu;doa kozmetik;Cilt Bakımı
559.0;559.0;4.258333333333333;102.3382352941177;419;0.0;doa kozmetik c vitamini 10 serum;doa kozmetik;Cilt Bakımı
276.18;276.18;4.258333333333333;102.3382352941177;473;0.0;w lab kozmetik ayak ve trnak bakm spreyi 100 ml;doa kozmetik;Other
210.7;210.7;4.6;1.0;127;0.0;golden rose velvet matte lipstick no 03 yogun pigmentli kadifemsi mat ruj;Golden Rose;Makyaj
410.0;410.0;4.258333333333333;102.3382352941177;423;0.0;doa kozmetik bha yuz ykama jeli;doa kozmetik;Other
319.9;319.9;2.0;8.0;63;0.0;mara kozmetik french manikur kalemi siyah;Mara kozmetik;Other
523.22;523.22;5.0;1.0;285;0.0;nivea men erkek deep dimension dus jeli 500 ml derinlemesine temizlik bakml cilt vucut yuz ve sac icin ferah koku aktif karbon 2 paketi;Nivea;Other
185.0;485.8617964071857;4.258333333333333;102.3382352941177;449;61.92332853333517;seyahat kiti 4 lu doldurulabilir sise seti kozmetik kutu 1;doa kozmetik;Aksesuar
94.46;188.91;4.258333333333333;102.3382352941177;251;49.99735323699116;nascita 2 li mini makyaj sungeri fondoten bb krem;doa kozmetik;Other
356.9;485.8617964071857;5.0;2.0;177;26.54289704620176;dogal ve endustriyel kozmetik formulleri;doa kozmetik;Other
21.5;129.0;3.6;14.0;208;83.33333333333334;bee beauty siyah nokta karsiti temizleme bandi aktif karbon icerikli nose pore strips charcoal;bee beauty;Other
119.99;485.8617964071857;3.8;15.0;412;75.30367670656696;pelus yumusack makyaj cantas kozmetik organizeri krem;doa kozmetik;Aksesuar
329.99;485.8617964071857;4.0;13.0;196;32.08150909575824;seyahat tipi bolmeli makyaj kozmetik cantas organizer mor;doa kozmetik;Aksesuar
789.9;789.9;5.0;2.0;295;0.0;nivea gunes koruyucu nemlendirici sprey gkf50 200 ml nivea soft 75 ml el kremi;Nivea;Other
4478.25;4478.25;4.9;42.0;146;0.0;bioworld tuvalet kozmetik seti hello kitty face aop krmz osfa;Nivea;Aksesuar
159.0;159.0;5.0;1.0;439;0.0;lux kozmetik makyaj cubugu pamuklu kozmetik temizleme cubuklar 80 adet;doa kozmetik;Other
159.0;485.8617964071857;4.4;2.0;340;67.27464452324483;welllineseyahat kiti 4 lu doldurulabilir sise seti kozmetik kutu;doa kozmetik;Aksesuar
179.99;485.8617964071857;5.0;1.0;67;62.95448596062161;luks lacivert kot makyaj ve kozmetik seyahat cantas;doa kozmetik;Other
38.32;229.9;4.258333333333333;102.3382352941177;289;83.33188342757721;seyahat sisesi seti 6 parca 5 dolum kab 1 tasma cantas ucak kabin uyumlu dolum siseleri sampuan krem ve kozmetik tasma seti szdrmaz kapakl seffaf cantal krem renk;doa kozmetik;Aksesuar
